"subject" "activity" "variable" "mean_value"
1 "LAYING" "body_acc_x" -0.0115358889115141
1 "LAYING" "body_acc_y" -0.0122609074114397
1 "LAYING" "body_acc_z" -0.00161731865601312
1 "LAYING" "body_gyro_x" 0.0114704403783495
1 "LAYING" "body_gyro_y" 0.00444869266497344
1 "LAYING" "body_gyro_z" 0.0275984349941828
1 "LAYING" "total_acc_x" 0.148162573229063
1 "LAYING" "total_acc_y" 0.710454980704781
1 "LAYING" "total_acc_z" 0.430974251735484
1 "SITTING" "body_acc_x" -0.00336698807718783
1 "SITTING" "body_acc_y" 0.00830296874545219
1 "SITTING" "body_acc_z" 0.00124322219354089
1 "SITTING" "body_gyro_x" -0.0182292707113541
1 "SITTING" "body_gyro_y" -0.0079394077457631
1 "SITTING" "body_gyro_z" -0.0103572343574678
1 "SITTING" "total_acc_x" 0.920397420977394
1 "SITTING" "total_acc_y" 0.230512473086769
1 "SITTING" "total_acc_z" 0.322026273969415
1 "STANDING" "body_acc_x" 0.000276532436453538
1 "STANDING" "body_acc_y" 0.000524808830951651
1 "STANDING" "body_acc_z" -0.000757860253643455
1 "STANDING" "body_gyro_x" 0.0038027338948237
1 "STANDING" "body_gyro_y" 0.00674630111015065
1 "STANDING" "body_gyro_z" -0.00510396859477624
1 "STANDING" "total_acc_x" 1.00285410551297
1 "STANDING" "total_acc_y" -0.254059246948703
1 "STANDING" "total_acc_z" 0.00697522471600118
1 "WALKING" "body_acc_x" -5.04911990559209e-05
1 "WALKING" "body_acc_y" -0.000128854135947368
1 "WALKING" "body_acc_z" -0.000938320109560033
1 "WALKING" "body_gyro_x" -0.014599858215148
1 "WALKING" "body_gyro_y" 0.00217139307711349
1 "WALKING" "body_gyro_z" -0.00061430490753125
1 "WALKING" "total_acc_x" 0.997061180921053
1 "WALKING" "total_acc_y" -0.263882523646155
1 "WALKING" "total_acc_z" -0.0733891163883255
1 "WALKING_DOWNSTAIRS" "body_acc_x" 0.00239312484429209
1 "WALKING_DOWNSTAIRS" "body_acc_y" 0.00378679923166454
1 "WALKING_DOWNSTAIRS" "body_acc_z" 0.000244930193343431
1 "WALKING_DOWNSTAIRS" "body_gyro_x" -0.0076353937466199
1 "WALKING_DOWNSTAIRS" "body_gyro_y" -0.00749376960210459
1 "WALKING_DOWNSTAIRS" "body_gyro_z" 0.00166069456162309
1 "WALKING_DOWNSTAIRS" "total_acc_x" 0.997136499202806
1 "WALKING_DOWNSTAIRS" "total_acc_y" -0.244431799830995
1 "WALKING_DOWNSTAIRS" "total_acc_z" -0.0663263184201658
1 "WALKING_UPSTAIRS" "body_acc_x" -0.00455728508969634
1 "WALKING_UPSTAIRS" "body_acc_y" -0.00357455272079452
1 "WALKING_UPSTAIRS" "body_acc_z" 0.00363560725781545
1 "WALKING_UPSTAIRS" "body_gyro_x" 0.0806764951158314
1 "WALKING_UPSTAIRS" "body_gyro_y" -0.041460951730513
1 "WALKING_UPSTAIRS" "body_gyro_z" -0.0123806836501887
1 "WALKING_UPSTAIRS" "total_acc_x" 0.962941935097288
1 "WALKING_UPSTAIRS" "total_acc_y" -0.347215722982459
1 "WALKING_UPSTAIRS" "total_acc_z" -0.0759891528358196
2 "LAYING" "body_acc_x" 0.000782620459907878
2 "LAYING" "body_acc_y" -0.000535310148371875
2 "LAYING" "body_acc_z" 0.00035083131030599
2 "LAYING" "body_gyro_x" 0.00948662885829163
2 "LAYING" "body_gyro_y" -0.0169135999761123
2 "LAYING" "body_gyro_z" 0.0259136753102604
2 "LAYING" "total_acc_x" -0.0240110246144531
2 "LAYING" "total_acc_y" 0.769108206608073
2 "LAYING" "total_acc_z" 0.630486895328776
2 "SITTING" "body_acc_x" -0.000100652413850713
2 "SITTING" "body_acc_y" 0.000760627952901495
2 "SITTING" "body_acc_z" -0.000300818998898777
2 "SITTING" "body_gyro_x" -0.0183536569299141
2 "SITTING" "body_gyro_y" 0.0065063506496678
2 "SITTING" "body_gyro_z" -0.0199630489963625
2 "SITTING" "total_acc_x" 1.00072676413043
2 "SITTING" "total_acc_y" -0.0866806083192255
2 "SITTING" "total_acc_z" 0.189468410155231
2 "STANDING" "body_acc_x" 6.91830141262442e-05
2 "STANDING" "body_acc_y" -0.000672778292970197
2 "STANDING" "body_acc_z" 0.000792520785668692
2 "STANDING" "body_gyro_x" 0.00393201028634795
2 "STANDING" "body_gyro_y" -0.0034766182422254
2 "STANDING" "body_gyro_z" 0.000664936673678241
2 "STANDING" "total_acc_x" 0.970098432566551
2 "STANDING" "total_acc_y" -0.352213310112847
2 "STANDING" "total_acc_z" 0.122773797442708
2 "WALKING" "body_acc_x" -0.000236823526445975
2 "WALKING" "body_acc_y" -0.0007640919728125
2 "WALKING" "body_acc_z" 0.000927358610169756
2 "WALKING" "body_gyro_x" -0.0261456554122987
2 "WALKING" "body_gyro_y" 0.0117845148574828
2 "WALKING" "body_gyro_z" -0.00154868120596663
2 "WALKING" "total_acc_x" 0.981170597153072
2 "WALKING" "total_acc_y" -0.328878587927701
2 "WALKING" "total_acc_z" 0.0786663049567929
2 "WALKING_DOWNSTAIRS" "body_acc_x" 8.1566674933513e-06
2 "WALKING_DOWNSTAIRS" "body_acc_y" -0.00289702140073138
2 "WALKING_DOWNSTAIRS" "body_acc_z" -0.00280964498676696
2 "WALKING_DOWNSTAIRS" "body_gyro_x" -0.0910397032603723
2 "WALKING_DOWNSTAIRS" "body_gyro_y" 0.031386088491999
2 "WALKING_DOWNSTAIRS" "body_gyro_z" 0.00479812537430186
2 "WALKING_DOWNSTAIRS" "total_acc_x" 0.945216230834442
2 "WALKING_DOWNSTAIRS" "total_acc_y" -0.310210784831449
2 "WALKING_DOWNSTAIRS" "total_acc_z" -0.0514648999197763
2 "WALKING_UPSTAIRS" "body_acc_x" -0.00626711601526693
2 "WALKING_UPSTAIRS" "body_acc_y" -0.00224174608150846
2 "WALKING_UPSTAIRS" "body_acc_z" -0.0146031169508174
2 "WALKING_UPSTAIRS" "body_gyro_x" -0.0309573604757487
2 "WALKING_UPSTAIRS" "body_gyro_y" 0.0190761039483724
2 "WALKING_UPSTAIRS" "body_gyro_z" -0.007743288215625
2 "WALKING_UPSTAIRS" "total_acc_x" 0.888648334407552
2 "WALKING_UPSTAIRS" "total_acc_y" -0.399876286108333
2 "WALKING_UPSTAIRS" "total_acc_z" -0.212631736700791
3 "LAYING" "body_acc_x" -0.000424302075489919
3 "LAYING" "body_acc_y" -0.000953314750890121
3 "LAYING" "body_acc_z" 0.00231474892565257
3 "LAYING" "body_gyro_x" 0.00707281137663609
3 "LAYING" "body_gyro_y" 0.00112362553571447
3 "LAYING" "body_gyro_z" 0.0228672015564589
3 "LAYING" "total_acc_x" 0.164311857283266
3 "LAYING" "total_acc_y" 0.853079137071573
3 "LAYING" "total_acc_z" 0.477050918220766
3 "SITTING" "body_acc_x" -0.00419954746515084
3 "SITTING" "body_acc_y" 0.0071518143813936
3 "SITTING" "body_acc_z" 0.00328679500347386
3 "SITTING" "body_gyro_x" -0.0112021383501723
3 "SITTING" "body_gyro_y" -0.000407067605547776
3 "SITTING" "body_gyro_z" 0.00339847371174669
3 "SITTING" "total_acc_x" 0.968779063626803
3 "SITTING" "total_acc_y" 0.152350318292488
3 "SITTING" "total_acc_z" 0.134381290148437
3 "STANDING" "body_acc_x" 0.000509173695485272
3 "STANDING" "body_acc_y" 0.00146889766758248
3 "STANDING" "body_acc_z" 0.00220862876287923
3 "STANDING" "body_gyro_x" 0.00310670472657787
3 "STANDING" "body_gyro_y" 0.00714678968143955
3 "STANDING" "body_gyro_z" -0.00876620069872387
3 "STANDING" "total_acc_x" 0.99748475908043
3 "STANDING" "total_acc_y" -0.281830209503074
3 "STANDING" "total_acc_z" 0.0210195001860451
3 "WALKING" "body_acc_x" -0.000413872830590652
3 "WALKING" "body_acc_y" -2.02621447764008e-05
3 "WALKING" "body_acc_z" -0.00144266983757813
3 "WALKING" "body_gyro_x" 0.00209813659221444
3 "WALKING" "body_gyro_y" -0.00161440306505657
3 "WALKING" "body_gyro_z" -0.00220595817404903
3 "WALKING" "total_acc_x" 0.997605530253233
3 "WALKING" "total_acc_y" -0.243620709883459
3 "WALKING" "total_acc_z" -0.142689099779429
3 "WALKING_DOWNSTAIRS" "body_acc_x" 0.00305982842274872
3 "WALKING_DOWNSTAIRS" "body_acc_y" -0.0011629786873023
3 "WALKING_DOWNSTAIRS" "body_acc_z" -0.00258729414628584
3 "WALKING_DOWNSTAIRS" "body_gyro_x" -0.107155483487921
3 "WALKING_DOWNSTAIRS" "body_gyro_y" 0.0272718476380166
3 "WALKING_DOWNSTAIRS" "body_gyro_z" 0.0165944493262564
3 "WALKING_DOWNSTAIRS" "total_acc_x" 1.00288336409598
